stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0,0,0.49,0.49,0,0,0
3dpf,0,0,0,0,3.46,0,0
5dpf,1.18,19.47,5.61,0,25.14,0.36,0.63
10dpf,0.61,17.11,0.84,0,5.91,0,1
