stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,40.94,0,0,0,15.26
12hpf,6.54,11.14,0,0,48.79,0,0,2.44,122.44
14hpf,10.64,30.65,3.43,8.36,47.49,6.74,3.7,0,220.13
16hpf,3.32,44.49,3.35,5.21,65.77,1.73,1.63,14.21,215.7
19hpf,0,0,0,0,4.79,0,0,0,4.22
24hpf,0.87,7.1,0,0,11.55,0,0,0,11.94
2dpf,0.73,0,0,1.13,0,0,0,0,0
3dpf,21.12,1.89,0,0,2.96,2.42,0,0,0
5dpf,2.15,0,0,0,0,1.2,0,0,0
10dpf,11.47,0,0,0,0,0.45,0,0,0
