stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,0,0,0,0.82
2dpf,0,0,0.51,1.24,0.49,0
3dpf,5.16,0,0,0.59,0,0
5dpf,3.92,0.52,0.31,0.51,0.32,0.58
10dpf,3.82,0,0,0,0,0
