stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,237.49,0,0,171.39,18.87
12hpf,2.34,0,45.83,41.73,0,0,40.08,0
14hpf,0,489.57,56.45,6.02,0,0,5.58,0
16hpf,0,671.73,67.53,2.3,0,0,2.08,0
19hpf,0,308.66,26.61,0,0,0,0,7.41
24hpf,4.04,1513.64,10.39,0,2.81,0,3.23,0
2dpf,0.87,13.13,0,1.57,0,0,0.69,1.83
3dpf,0,4.69,0,0,0.88,0,0,0
5dpf,6.13,59.17,3.28,0.51,20.97,1.67,3.11,5.26
10dpf,5.15,54.69,0,0,0.39,0,0.43,0
