stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0.54,0,0,0,0
3dpf,40.13,0,0,0,0,0,0
5dpf,4.36,0,0,1.48,0.34,1.08,0.5
10dpf,64.77,0.54,0,1.57,0,0,0
