stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,61.95,0,0,0,0,0,0,0,0
12hpf,93.76,0,0,0,0,0,0,10.59,0
14hpf,50.05,0,2.41,0,0,0,0,0,0
16hpf,128.63,0,23.06,0,0,0,0,3.57,0
19hpf,80.08,0,16.71,0,0,0,0,0,2.42
24hpf,45.63,0,0,0,0,0.89,0,3.57,0
2dpf,151.75,0,25.62,2.06,5.61,2.42,0,5.95,0
3dpf,81.82,0.3,6.73,0.83,6.95,0,0,2.75,0.29
5dpf,70.47,0.83,8.57,0.72,7.16,0,3.87,0.91,0
10dpf,57.53,0,6.78,0,4.47,0,0.4,2.81,0
