stage,central_nervous_system,intermediate_mesoderm,notochord,paraxial_mesoderm,periderm
12hpf,0,2.09,0,0,0
2dpf,0.65,0,0,0,0
3dpf,3.22,0,0,0.58,0.33
5dpf,1.91,0,0.37,0,0
