stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme
2dpf,0.62,0,0,0,0
3dpf,1.85,0,0,0,0
5dpf,8.75,0.61,0,0.79,0.45
10dpf,31.22,0,0.86,0,0.45
