stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,21.44,0,23.4,0,9.92,0,0,0,0,0
12hpf,30.28,2,5.81,1.8,5.36,2.25,0,14.79,5.58,13.02
14hpf,28.29,0,2.74,0,2.72,0,0,8.3,2.4,5.15
16hpf,66.58,1.7,1.83,0,24.73,8.18,0,13.98,8.1,29.94
19hpf,145.44,0,0,0,13.12,5.22,0,3.12,0,19.68
24hpf,165.81,0,10.95,18.53,63.7,28.22,2.8,5.19,20.74,22.99
2dpf,444.49,10.87,27.23,51.46,351.26,312.77,43.69,14.84,107.29,133.92
3dpf,467.79,10.79,12.05,17.77,24.65,219.36,12.02,0,12.74,28.14
5dpf,101.52,10.59,66.14,68.48,52.45,367.61,48.28,16.02,48.65,216.3
10dpf,463.36,17.01,37.56,29.2,17.84,139.18,37.33,0,20.65,40.1
