stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,1,0.66
3dpf,5.39,0,0.7,0
5dpf,0,0,0.46,0
10dpf,1.99,0.45,0,0
