stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,5.02,0,3.33,0,0,0.82
3dpf,15.11,0.64,0.44,4.03,0,0
5dpf,0.35,0,0.64,9.9,0,0
10dpf,11.54,0,0.49,0.69,1.42,0
