stage,central_nervous_system,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,1.86,0,5.8,0
3dpf,8.14,2,0,0
5dpf,0,3,4.55,1.11
10dpf,5.27,3.33,15.68,0
