stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,45.99,0,0,0,0,0,0,0,0
12hpf,83.45,8.5,0,0,0,0,0,0,0
14hpf,12.18,0,0,0,0,0,0,0,2.25
16hpf,29.78,0,0,0,0,0,0,0,0
19hpf,64.13,0,0,0,0,0,0,0,0
24hpf,149.6,0,0,0.82,0.82,0,0,2.21,0
2dpf,312.36,0,8.79,3.96,11.06,23.24,4.25,8.44,5.43
3dpf,1026.98,1.58,1.25,0.69,1.93,16.14,0,2.81,3.5
5dpf,33.84,2.43,0.48,1.93,1.78,16.44,1.24,3.42,16.92
10dpf,260.56,0,5.62,0,0,5.53,0,0.48,3
