stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,0.55,0,0.71
3dpf,0,0,0,1.7,0
5dpf,0.52,0,0,0.61,0
10dpf,0,0.94,0,0,0
