stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,33.53,0,0,0,0,0,0,0,28.15
12hpf,0,0,0,0,0,0,0,0,14.2
14hpf,131.01,0,0,0,0,18.94,0,0,44.41
16hpf,62.36,0,0,0,0,3.96,0,0,22.99
19hpf,91.13,0,0,9.33,0,4.08,0,0,11.57
24hpf,12.85,0,0,0,0,0,0,0,0
2dpf,107.86,0.52,3.1,28.32,2.48,9.71,0,2.08,18.66
3dpf,73.79,0.61,0.86,14.87,0,4.81,0,0,4.23
5dpf,129.83,0,0.7,40.77,1.1,16.11,0.59,0.74,6.37
10dpf,137.66,4.22,0,52.97,0,11.55,0,0.88,2.9
