stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
16hpf,0,1.78,0,0,0,0,0,0,0
19hpf,0,0,0,0,0,0,0,0,1.54
24hpf,0,0,0,0,0,0,0,0,2.32
2dpf,0.77,0,1.33,0.65,1.37,0,0,0.84,5.41
3dpf,4.77,1.97,0.33,0.81,5.45,0,0,0.34,6.8
5dpf,2.29,0.91,0,0,2.6,1.32,1,0.52,27.85
10dpf,2.97,0,0,0,0,0,0,0.87,2.44
