stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0.75,0,0,0,0.52,0,0,0.82
3dpf,7.75,0,0,0,1.25,0,0,0
5dpf,0.9,0,0.36,0,1.11,0.74,0.35,2.47
10dpf,2.33,1.42,0.69,0.86,0,0,0,0
