stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.06,0,0,0,0,19.52,0,0,0
12hpf,123.98,0,0,0,1.87,165.71,0,2.65,3.28
14hpf,220.06,0,0,0,0,1063.49,13.83,2.27,9.36
16hpf,234.39,8.81,0,0,1.62,425.41,0,0,7.26
19hpf,26.22,0,0,0,1.52,90.79,0,0,0
24hpf,115.32,0.81,0,0,2.93,282.76,0,0.9,0
2dpf,48.25,0,0.96,1.57,5.65,179.13,0,3.48,2.78
3dpf,182.64,0,0,0.65,0,54.68,0,0,1.97
5dpf,5.45,0,0,0.94,0,14.02,0.97,0.42,2.09
10dpf,49.03,0,1.68,0.52,0,13.8,0,0,2.37
