stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
10hpf,0,0,9.12,0,0,0
12hpf,1.95,0,1.91,0,0,0
2dpf,1.8,0,0.48,0,0,0
3dpf,0.76,6.85,0,0,0,0
5dpf,0.64,0.63,0,0,0.7,0
10dpf,5.71,1.58,0,0.45,0,0.77
