stage,central_nervous_system,intermediate_mesoderm,mesenchyme,notochord
16hpf,0,2.26,0,0
2dpf,0.59,1.17,0,1.98
3dpf,19.8,0,0,0
5dpf,0,0,2.6,0
10dpf,23.04,0,0.78,0
