stage,central_nervous_system,notochord,paraxial_mesoderm,periderm
16hpf,0,1.64,0,0
24hpf,0,0,1.02,0
2dpf,0,0,0,0.66
3dpf,1.96,0,0,0.37
5dpf,0,0,0,0.9
