stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
3dpf,3.59,0.51,0,0.39,0.74,0,0.32
5dpf,2.09,0,0.31,0.61,1.8,0.72,1.45
10dpf,13.03,0,0,0.52,2.24,0,2.35
