stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,30.96,0
12hpf,2.01,0,0,0,0,0,0,268.67,1.92
14hpf,0,0,0,0,0,0,0,273.15,0
16hpf,3.88,0,0,0,0,0,0,1028.54,6.02
19hpf,0,0,0,0,60.65,0,0,320.03,0
24hpf,9.05,0,0,0,43.48,0,0,1353.24,0
2dpf,8.7,0,0,1.55,3.04,4.45,0,25.53,2.04
3dpf,4.93,0.44,0,0,2.81,20.53,0,13.74,1.24
5dpf,0.69,0.5,0.65,2.98,4.68,48.7,0.29,33.41,2.46
10dpf,9.27,0.9,2.04,0,8.85,6.03,0,17.75,0.51
