stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,18.57
12hpf,1.81,0,0,0,0,0,0,0,0,2.71
14hpf,9.25,2.23,0,4.94,0,2.51,0,0,0,3.3
16hpf,29.12,12.33,19.29,3.34,9.05,10.52,0,2.15,1.83,8.91
19hpf,318.06,1.5,0,8.74,25.32,19.93,0,1.65,3.56,26.99
24hpf,419.13,3.5,0,12.22,31.22,17.41,5,3.09,75.39,38.45
2dpf,1230.65,13.22,31.32,71.72,305.23,623.9,66.28,16.26,148.94,258.27
3dpf,6194.58,15.42,26.79,38.4,65.42,747.81,44.24,0,45.36,83.82
5dpf,233.06,8.99,40.57,62.43,31.85,430.58,71.01,14.62,67.57,171.27
10dpf,2491.91,14.39,31.28,32.39,10.51,246,37.57,0,26.75,44.96
