stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,75.59,0,0,0,71.95,0,0,0,38.44
12hpf,61.07,1.76,5,16.61,10.55,17.56,47.24,177.85,28.19
14hpf,20.49,0,0,0,0,0,0,21.86,0
16hpf,22.35,0,86,7.63,25.37,0,39.99,86.97,30.28
19hpf,4.46,0,6.68,1.65,0,0,0,0,15.56
24hpf,1.53,0.92,8.28,0,0,1.26,0,9.2,4.84
2dpf,16.62,0,3.18,0,1.86,4.2,0,8.38,4.16
3dpf,9.1,0,1.22,0,0,2.57,0,0,1.7
5dpf,1.82,0,0.84,0,0,0.39,0,0,4.26
10dpf,2.53,0,0,1.02,0,0,0,0.43,3.07
