stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
3dpf,2.87,0,0,0.71,0,0.45
5dpf,0,0,0,0.31,0.5,0
10dpf,23.33,0.38,0.47,3.66,0,0
