stage,central_nervous_system,hematopoietic_system,mesenchyme,paraxial_mesoderm
19hpf,0,1.61,0,0
2dpf,0,0,0,0.74
3dpf,1.31,0,0.88,0
10dpf,1.09,0,0.4,0
