stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,0.91,0,0.99
3dpf,0,0,0.7,0.35,0.36
10dpf,3.13,0.42,3.87,0.44,1.23
