stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,2978.14,39.96,0,0,11.65,0,0,161.79,23.47
12hpf,4494.07,4.53,0,0,225.7,2.24,22.87,263.07,195.75
14hpf,915.74,3.04,5.18,0,3.39,5.74,6.96,12.42,8.02
16hpf,536.98,0,0,0,34.61,1.67,1.79,10.72,34.65
19hpf,604.85,0,0,0,2.33,0,0,3.89,4.64
24hpf,154.18,0,0,1.62,0.82,0.92,0,16.58,0.85
2dpf,25.64,0,0,0,0.53,0.66,0,0.83,0
3dpf,8.23,0,0,0,0,3.58,0,0,0
5dpf,1.43,0,0,0,0,1.95,0,0,0
10dpf,1.23,0,0,0,0,0.58,0,0,1.99
