stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,9.48,0,10.64,0,298.29,0,9.4,0,71.13
12hpf,7.61,20.64,0,1.93,561.82,0,12.24,6,61.14
14hpf,0,3.49,18.18,0,260.56,0,29.82,0,20.15
16hpf,0,2.55,0,0,343.29,0,16.67,0,3.09
19hpf,0,0,0,0,54.69,0,1.63,0,0
24hpf,0.92,0,0,0,12.88,0,0,0,0
2dpf,0,0,0,0,0,0.48,0,1.46,1.94
3dpf,1.51,0,0,0,0,0.9,0,0,0.4
5dpf,0,0,0,1.04,0.65,4.06,0.72,1.13,1.58
10dpf,14.35,0,0,1.41,1.32,1.21,0,0,0.41
