stage,central_nervous_system,hematopoietic_system,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0.94,0,0
3dpf,1.64,0.84,0,0.49,0.37
5dpf,0.81,0.39,0,0,0
10dpf,1.16,0,0,0,0
