stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,10.09,0,2.48,29.85,57.46,0,4.59,6.94,2.86
3dpf,4.33,0,1.03,11.39,47.74,0.54,0,1.01,0.32
5dpf,5.47,0.81,0.3,1.98,82.68,1.59,7.11,6,2.91
10dpf,11.57,0.48,0,5.49,40.06,0.55,0,6.19,1.48
