stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest
24hpf,3.32,0,0,0
2dpf,6.7,1.78,0.7,0
3dpf,1.8,0,0,0
5dpf,3.86,0.45,0.51,1.58
10dpf,19.06,2.64,1.35,0.76
