stage,central_nervous_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,1.66,0.73,0,0
3dpf,18.53,0,0.33,0
5dpf,0.36,0,1.29,0
10dpf,9.93,0,0,1.82
