stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
16hpf,0,2.68,0,0,0,0
2dpf,2.12,0.56,0,0.62,0,0
3dpf,0,0.31,0,0,0,0.62
5dpf,0,0,0,0,0.9,0
10dpf,0,0.54,1.81,0,0.7,0
