stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,2.25,0,0.6,0
3dpf,15.16,0,0,0.39
5dpf,0,0.35,0.47,1.43
10dpf,4.81,0,0,0
