stage,central_nervous_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0,0,0.78,0
3dpf,0,0.47,0.36,0,0
5dpf,0.46,0,0,0,0.58
10dpf,1.48,1.75,0,0,0
