stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,0.56,0,0,0.57,0,0.88
3dpf,0,0,0.72,0,0.32,0.35
5dpf,0,0,0,0,0,1.2
10dpf,16.05,0.42,0,0,0.38,0
