stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
24hpf,0,0,0,0,0,0,0,1.38
2dpf,1.7,0,0,0,0,1.72,0,37.29
3dpf,0.38,0,0,0,0,0.51,0,5
5dpf,0.89,1.41,0.36,0.94,1.79,4.19,0,6.18
10dpf,2.52,1.34,0,0.66,0,0.49,1.18,28.26
