stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,1.69,6.39,23.43
3dpf,0,0.53,0,24.86,3.44
5dpf,0.93,0,0,16.7,3.88
10dpf,0,2.62,2.01,34.22,6.95
