stage,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
16hpf,0,0,0,0,1.96
24hpf,0,0,1.36,0,0
2dpf,0,0.55,0,0,0.82
3dpf,0,0,0,0.73,0
5dpf,0,0,1.26,0.83,0
10dpf,0.59,0,0,0,0
