stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
3dpf,0,0.3,0,0,0.65,0.77,1.4
5dpf,1.1,0,0.69,0,0.77,1.93,0
10dpf,0.37,0.38,0,0.8,0.66,1.38,0
