stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,1.87,1.96,0,0,0.51,0
3dpf,56.93,0,0.82,0,6.29,0.51
5dpf,3.52,0.33,2.33,0,11.05,0
10dpf,59.33,0,0.96,1.1,12.56,0.64
