stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,periderm
2dpf,0,0,0,1.38,0
3dpf,8.35,0,0,0,0
5dpf,1.03,0,0.33,0,1.74
10dpf,9.51,0.58,0,0,0
