stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,56.16,0,0,0,0,0,0,8.9,0
12hpf,21.81,0,0,0,0,0,0,1.79,1.92
14hpf,751.11,0,0,4.89,6.36,3.04,0,5.99,0
16hpf,214.12,0,0,0,0,0,0,4.04,8.6
19hpf,483.72,0,0,0,0,0,0,0,0
24hpf,36.7,0,0,0,0,0,0,2.15,0
2dpf,126.36,0.69,2.7,0,17.16,10.15,4.26,9.41,11.97
3dpf,294.24,1.57,1.1,0.68,1.12,20.13,0,0.65,0.35
5dpf,116.62,1.19,2.81,2.72,6.19,40.75,2.79,7.54,9.78
10dpf,325.77,1.76,1.63,5.06,0.44,18.12,0.71,3.61,2.09
