stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,0,0,0.66,0,0
3dpf,0.39,0,0,0,0,0,0
5dpf,0.84,0,2.42,1.24,0,0.62,3.44
10dpf,0.89,2.3,0,3.1,0,0,0
