stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.42,0,0,0,0,0,0,0,0
12hpf,4.07,0,0,0,0,0,0,0,0
14hpf,17.13,0,0,0,0,0,0,0,0
16hpf,4.19,0,2.52,0,0,0,0,0,0
19hpf,4.87,0,2.09,0,0,0,0,0,0
24hpf,4.62,0,0,0,0.91,0,0,0.84,0.85
2dpf,119.37,0,3.4,24.57,36.57,9.27,0.82,16.68,15.42
3dpf,77.31,0.41,0.43,1.26,14.94,0.55,0,0.54,0.83
5dpf,49.57,1.29,4.44,4.43,46.33,3.29,2.32,7.69,6.77
10dpf,47.86,3.43,2.8,0.4,17.9,0.58,0,1.59,0.7
