stage,central_nervous_system,hematopoietic_system,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,1.21,0,1.64,0
3dpf,1.76,0,0,0,0,0
5dpf,0,0.97,0.78,0.29,0,1.03
10dpf,1.26,0,0.49,0,0,0
