stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,8.79,0,0,0,0,0,0,0,0
12hpf,43.86,0,0,0,0,0,0,0,0
14hpf,91.63,0,0,19.66,2.41,2.34,0,6.42,0
16hpf,127.12,0,0,47.24,0,0,0,3.45,2.03
19hpf,93.06,0,0,41.78,0,0,0,0,0
24hpf,60.45,0,1.36,2.09,0,0,0,5.69,0
2dpf,142.12,1.38,7.45,26.19,2.22,2.44,0,0.48,6.07
3dpf,93.42,1.18,1.01,11.06,1.61,11.32,0.3,0.84,0
5dpf,85.21,3.18,21.16,18.36,4.02,20.46,2.03,3.14,9.33
10dpf,67.27,4.14,11.02,20.7,0,15.63,0,0,0
