stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,neural_crest,notochord,periderm
2dpf,0,0,0,0,0,0.52,0
3dpf,16.36,0,0,0,0,0,0
5dpf,2.32,0,0,0.98,0.5,0.78,1.7
10dpf,7.36,0.43,0.39,0,0,0,11.08
