stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,30.87,0,9.99,0,0,0,0,11.3,0,12.4
12hpf,3.8,3.79,11.66,1.76,2.48,0,0,22.72,0,5.88
14hpf,2.6,0,2.87,0,0,0,0,2.25,5.27,2.25
16hpf,17.83,2.6,1.95,3.6,13.62,1.85,0,0,9.5,16.16
19hpf,19.38,0,0,0,1.53,1.61,0,0,0,3.12
24hpf,3.84,0,0.88,2.11,3.8,0.88,0.92,0.89,1.77,1.69
2dpf,184.87,0.72,19.52,43.39,46.71,182.22,33.96,4.02,40.27,74.11
3dpf,374.03,2.28,4.25,9.31,17.79,136.85,5.68,0,4.98,21.08
5dpf,54.17,5.1,25.95,38.09,9.34,135.83,17.56,7.29,25.81,117.21
10dpf,162.23,2.64,10.36,12.85,6.41,54.57,11.56,0,7.61,22.97
