stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,2.56,0,0,0,1.95,0.68
3dpf,4.36,0.48,0.53,0,0,0
5dpf,0,0,0,0.99,0,1.81
