stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm
24hpf,0,0,1.68,0,0
2dpf,0,0,1.18,0,0
5dpf,0,0.44,1.54,0,0
10dpf,0.56,4.25,1.63,3.42,1.31
