stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,0.55,0,0,0,0
3dpf,0,2.66,0,0.31,0,0,0.51
5dpf,0.29,5.2,0,0.55,0.66,0.51,0.93
10dpf,2,6.73,0,0,0,0,0
