stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
3dpf,0.49,0.31,0,0,0
5dpf,0,0,0.66,3.69,0
10dpf,0,1.38,4.65,0,0.68
