stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0,6.29
3dpf,0,0,0.49,0,0,0
5dpf,0.46,0.55,0,0.57,0.69,1.05
10dpf,0.38,0.43,0,0.45,0,0
