stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,12.17,1.77,0,1.09,3.66,1.58,0
3dpf,49.25,0,0,0,3.51,0,0
5dpf,3.59,0,1.75,0.48,2.92,0,1.04
10dpf,26.05,0,0,0,2.01,0,0
