stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,53.16,0,0,0,0,0,0,0,0
12hpf,66.26,0,0,0,0,0,0,4.39,0
14hpf,12.09,0,0,0,0,0,0,0,0
16hpf,95.11,0,0,19.74,0,0,0,5.26,0
19hpf,170.22,0,1.61,36.97,0,0,0,0,3
24hpf,218.07,0,0,2.24,0,0,0,6.4,0.88
2dpf,549.94,0,4.16,24.41,4.51,8.68,2.46,1.97,8.28
3dpf,230.56,1.23,0.41,9.57,0,6.17,0,0,1.53
5dpf,262.34,1.66,0.89,15.5,0,10.74,1.36,1.61,8.62
10dpf,134.77,0.73,0,17.07,0,4.79,0,0.94,3.6
