stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,3.94,2.32,3.59,4.74,0,1.98,3.93
3dpf,1.21,0,0,0,0,0.35,0
5dpf,8.38,0,0.92,0.85,1.01,0.39,0.51
10dpf,1.8,0.55,0,0.42,0,0,0
