stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,0,0,0,0,0.82
2dpf,3.27,4.69,0,0,0
3dpf,0,4.04,0,0,0
5dpf,0,32.77,0.31,0,0
10dpf,0,26.62,0,0.69,0.54
