stage,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0.83,1.51,0.67,0.52,0
3dpf,0,0,0,0,0,1.26
5dpf,1.33,0,1.9,0,0,2.86
10dpf,0,0,0,0,0,1.91
