stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0.87,0,0,0,0,0
3dpf,2.94,0.35,0,1.6,0,0
5dpf,1.27,0,0.55,2.31,3.35,0
10dpf,33.1,0,0,1.36,0,1.62
