stage,central_nervous_system,endoderm,mesenchyme,paraxial_mesoderm
2dpf,0.84,0,0.54,0
3dpf,2.44,0,1.02,0
5dpf,1.8,1.57,5.17,0.93
10dpf,3.19,3.26,4.47,0
