stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,0,1.4,0,0
3dpf,0,0,0,0,0.54,0
5dpf,0,0.83,0.61,0,1.04,1.47
10dpf,0.51,0.84,0,0,0,0.42
